ID,pair_id,cluster,time
20060504060976,NA,Cluster 2  |  n = 446,t1
20060504060979,NA,Cluster 4  |  n = 1111,t1
20060504060981,NA,Cluster 1  |  n = 1650,t1
20060504060982,NA,Cluster 4  |  n = 1111,t1
20060504060988,NA,Cluster 4  |  n = 1111,t1
20060504060989,NA,Cluster 1  |  n = 1650,t1
20060504060999,NA,Cluster 4  |  n = 1111,t1
20060504061002,NA,Cluster 4  |  n = 1111,t1
20060504061025,NA,Cluster 1  |  n = 1650,t1
20060504061031,NA,Cluster 3  |  n = 158,t1
20060504061040,NA,Cluster 1  |  n = 1650,t1
20060504061055,NA,Cluster 1  |  n = 1650,t1
20060504061057,NA,Cluster 1  |  n = 1650,t1
20060504061060,NA,Cluster 4  |  n = 1111,t1
20060504061064,NA,Cluster 3  |  n = 158,t1
20060504061066,NA,Cluster 1  |  n = 1650,t1
20060504061072,NA,Cluster 1  |  n = 1650,t1
20060504061074,NA,Cluster 1  |  n = 1650,t1
20060504061075,NA,Cluster 1  |  n = 1650,t1
20060504061077,NA,Cluster 1  |  n = 1650,t1
20060504061078,NA,Cluster 1  |  n = 1650,t1
20060504061082,NA,Cluster 1  |  n = 1650,t1
20060504061085,NA,Cluster 1  |  n = 1650,t1
20060504061089,NA,Cluster 4  |  n = 1111,t1
20060504061107,NA,Cluster 1  |  n = 1650,t1
20060504061120,NA,Cluster 1  |  n = 1650,t1
20060504061131,NA,Cluster 4  |  n = 1111,t1
20060504061138,NA,Cluster 4  |  n = 1111,t1
20060504061139,NA,Cluster 4  |  n = 1111,t1
20060504061152,NA,Cluster 4  |  n = 1111,t1
20060504061154,NA,Cluster 4  |  n = 1111,t1
20060504061169,NA,Cluster 2  |  n = 446,t1
20060504061171,NA,Cluster 1  |  n = 1650,t1
20060504061186,NA,Cluster 2  |  n = 446,t1
20060504061194,NA,Cluster 4  |  n = 1111,t1
20060504061197,NA,Cluster 4  |  n = 1111,t1
20060504061198,NA,Cluster 4  |  n = 1111,t1
20060504061200,NA,Cluster 2  |  n = 446,t1
20060504061204,NA,Cluster 4  |  n = 1111,t1
20060504061208,NA,Cluster 4  |  n = 1111,t1
20060504061209,NA,Cluster 1  |  n = 1650,t1
20060504061210,NA,Cluster 1  |  n = 1650,t1
20060504061211,NA,Cluster 4  |  n = 1111,t1
20060504061219,NA,Cluster 1  |  n = 1650,t1
20060504061220,NA,Cluster 2  |  n = 446,t1
20060504061225,NA,Cluster 1  |  n = 1650,t1
20060504061227,NA,Cluster 4  |  n = 1111,t1
20060504061229,NA,Cluster 1  |  n = 1650,t1
20060504061233,NA,Cluster 1  |  n = 1650,t1
20060504061240,NA,Cluster 1  |  n = 1650,t1
20060504061257,NA,Cluster 4  |  n = 1111,t1
20060504061259,NA,Cluster 4  |  n = 1111,t1
20060504061266,NA,Cluster 1  |  n = 1650,t1
20060504061267,NA,Cluster 1  |  n = 1650,t1
20060504061291,NA,Cluster 1  |  n = 1650,t1
20060504061294,NA,Cluster 1  |  n = 1650,t1
20060504061308,NA,Cluster 1  |  n = 1650,t1
20060504061313,NA,Cluster 2  |  n = 446,t1
20060504061322,NA,Cluster 4  |  n = 1111,t1
20060504061324,NA,Cluster 4  |  n = 1111,t1
20060504061335,NA,Cluster 4  |  n = 1111,t1
20060504061337,NA,Cluster 1  |  n = 1650,t1
20060504061346,NA,Cluster 4  |  n = 1111,t1
20060504061353,NA,Cluster 1  |  n = 1650,t1
20060504061361,NA,Cluster 2  |  n = 446,t1
20060504061364,NA,Cluster 2  |  n = 446,t1
20060504061374,NA,Cluster 2  |  n = 446,t1
20060504061375,NA,Cluster 2  |  n = 446,t1
20060504061380,NA,Cluster 4  |  n = 1111,t1
20060504061383,NA,Cluster 4  |  n = 1111,t1
20060504061385,NA,Cluster 4  |  n = 1111,t1
20060504061396,NA,Cluster 1  |  n = 1650,t1
20060504061398,NA,Cluster 2  |  n = 446,t1
20060504061402,NA,Cluster 4  |  n = 1111,t1
20060504061403,NA,Cluster 4  |  n = 1111,t1
20060504061412,NA,Cluster 4  |  n = 1111,t1
20060504061415,NA,Cluster 1  |  n = 1650,t1
20060504061426,NA,Cluster 4  |  n = 1111,t1
20060504061432,NA,Cluster 4  |  n = 1111,t1
20060504061441,NA,Cluster 2  |  n = 446,t1
20060504061453,NA,Cluster 4  |  n = 1111,t1
20060504061456,NA,Cluster 1  |  n = 1650,t1
20060504061458,NA,Cluster 4  |  n = 1111,t1
20060504061475,NA,Cluster 1  |  n = 1650,t1
20060504061487,NA,Cluster 1  |  n = 1650,t1
20060504061492,NA,Cluster 1  |  n = 1650,t1
20060504061495,NA,Cluster 1  |  n = 1650,t1
20060504061504,NA,Cluster 4  |  n = 1111,t1
20060504061510,NA,Cluster 1  |  n = 1650,t1
20060504061513,NA,Cluster 4  |  n = 1111,t1
20060504061516,NA,Cluster 2  |  n = 446,t1
20060504061530,NA,Cluster 4  |  n = 1111,t1
20060504061554,NA,Cluster 1  |  n = 1650,t1
20060504061566,NA,Cluster 2  |  n = 446,t1
20060504061575,NA,Cluster 1  |  n = 1650,t1
20060504061576,NA,Cluster 4  |  n = 1111,t1
20060504061577,NA,Cluster 4  |  n = 1111,t1
20060504061589,NA,Cluster 1  |  n = 1650,t1
20060504061605,NA,Cluster 1  |  n = 1650,t1
20060504061608,NA,Cluster 4  |  n = 1111,t1
20060504061611,NA,Cluster 4  |  n = 1111,t1
20060504061613,NA,Cluster 1  |  n = 1650,t1
20060504061618,NA,Cluster 1  |  n = 1650,t1
20060504061632,NA,Cluster 3  |  n = 158,t1
20060504061634,NA,Cluster 1  |  n = 1650,t1
20060504061645,NA,Cluster 1  |  n = 1650,t1
20060504061665,NA,Cluster 1  |  n = 1650,t1
20060504061676,NA,Cluster 1  |  n = 1650,t1
20060504061684,NA,Cluster 1  |  n = 1650,t1
20060504061687,NA,Cluster 1  |  n = 1650,t1
20060504061689,NA,Cluster 1  |  n = 1650,t1
20060504061696,NA,Cluster 1  |  n = 1650,t1
20060504061697,NA,Cluster 2  |  n = 446,t1
20060504061702,NA,Cluster 1  |  n = 1650,t1
20060504061711,NA,Cluster 3  |  n = 158,t1
20060504061714,NA,Cluster 4  |  n = 1111,t1
20060504061775,NA,Cluster 4  |  n = 1111,t1
20060504061778,NA,Cluster 4  |  n = 1111,t1
20060504061785,NA,Cluster 4  |  n = 1111,t1
20060504061787,NA,Cluster 1  |  n = 1650,t1
20060504061795,NA,Cluster 1  |  n = 1650,t1
20060504061803,NA,Cluster 4  |  n = 1111,t1
20060504061817,NA,Cluster 4  |  n = 1111,t1
20060504061821,NA,Cluster 2  |  n = 446,t1
20060504061827,NA,Cluster 1  |  n = 1650,t1
20060504061831,NA,Cluster 4  |  n = 1111,t1
20060504061833,NA,Cluster 1  |  n = 1650,t1
20060504061834,NA,Cluster 2  |  n = 446,t1
20060504061835,NA,Cluster 1  |  n = 1650,t1
20060504061837,NA,Cluster 1  |  n = 1650,t1
20060504061839,NA,Cluster 2  |  n = 446,t1
20060504061844,NA,Cluster 4  |  n = 1111,t1
20060504061857,NA,Cluster 2  |  n = 446,t1
20060504061860,NA,Cluster 1  |  n = 1650,t1
20060504061862,NA,Cluster 4  |  n = 1111,t1
20060504061864,NA,Cluster 1  |  n = 1650,t1
20060504061875,NA,Cluster 4  |  n = 1111,t1
20060504061877,NA,Cluster 4  |  n = 1111,t1
20060504061879,NA,Cluster 2  |  n = 446,t1
20060504061880,NA,Cluster 2  |  n = 446,t1
20060504061886,NA,Cluster 4  |  n = 1111,t1
20060504061892,NA,Cluster 1  |  n = 1650,t1
20060504061895,NA,Cluster 1  |  n = 1650,t1
20060504061906,NA,Cluster 4  |  n = 1111,t1
20060504061914,NA,Cluster 4  |  n = 1111,t1
20060504061917,NA,Cluster 3  |  n = 158,t1
20060504061921,NA,Cluster 4  |  n = 1111,t1
20060504061924,NA,Cluster 1  |  n = 1650,t1
20060504061926,NA,Cluster 1  |  n = 1650,t1
20060504061932,NA,Cluster 1  |  n = 1650,t1
20060504061933,NA,Cluster 4  |  n = 1111,t1
20060504061935,NA,Cluster 4  |  n = 1111,t1
20060504061942,NA,Cluster 4  |  n = 1111,t1
20060504061949,NA,Cluster 2  |  n = 446,t1
20060504061952,NA,Cluster 1  |  n = 1650,t1
20060504061953,NA,Cluster 4  |  n = 1111,t1
20060504061958,NA,Cluster 3  |  n = 158,t1
20060504061962,NA,Cluster 3  |  n = 158,t1
20060504061965,NA,Cluster 4  |  n = 1111,t1
20060504061987,NA,Cluster 4  |  n = 1111,t1
20060504061993,NA,Cluster 4  |  n = 1111,t1
20060504062005,NA,Cluster 1  |  n = 1650,t1
20060504062010,NA,Cluster 4  |  n = 1111,t1
20060504062011,NA,Cluster 4  |  n = 1111,t1
20060504062016,NA,Cluster 1  |  n = 1650,t1
20060504062019,NA,Cluster 1  |  n = 1650,t1
20060504062030,NA,Cluster 1  |  n = 1650,t1
20060504062032,NA,Cluster 4  |  n = 1111,t1
20060504062039,NA,Cluster 4  |  n = 1111,t1
20060504062047,NA,Cluster 1  |  n = 1650,t1
20060504062048,NA,Cluster 4  |  n = 1111,t1
20060504062053,NA,Cluster 2  |  n = 446,t1
20060504062061,NA,Cluster 1  |  n = 1650,t1
20060504062062,NA,Cluster 4  |  n = 1111,t1
20060504062063,NA,Cluster 1  |  n = 1650,t1
20060504062064,NA,Cluster 2  |  n = 446,t1
20060504062068,NA,Cluster 1  |  n = 1650,t1
