ID,pair_id,cluster,time
20140112131785,NA,Cluster 2  | n =  2413,t1
20140112131786,NA,Cluster 3  | n =  822,t1
20140112131788,NA,Cluster 2  | n =  2413,t1
20140112131813,NA,Cluster 3  | n =  822,t1
20140112131826,NA,Cluster 6  | n =  889,t1
20140112131832,NA,Cluster 2  | n =  2413,t1
20140112131836,NA,Cluster 5  | n =  929,t1
20140112131838,NA,Cluster 6  | n =  889,t1
20140112131845,NA,Cluster 2  | n =  2413,t1
20140112131856,NA,Cluster 3  | n =  822,t1
20140112131867,NA,Cluster 3  | n =  822,t1
20140112131872,NA,Cluster 6  | n =  889,t1
20140112131878,NA,Cluster 2  | n =  2413,t1
20140112131881,NA,Cluster 5  | n =  929,t1
20140112131884,NA,Cluster 2  | n =  2413,t1
20140112131898,NA,Cluster 4  | n =  207,t1
20140112131899,NA,Cluster 6  | n =  889,t1
20140112131901,NA,Cluster 2  | n =  2413,t1
20140112131903,NA,Cluster 3  | n =  822,t1
20140112131913,NA,Cluster 2  | n =  2413,t1
20140112131914,NA,Cluster 6  | n =  889,t1
20140112131922,NA,Cluster 3  | n =  822,t1
20140112131923,NA,Cluster 2  | n =  2413,t1
20140112131930,NA,Cluster 3  | n =  822,t1
20140112131939,NA,Cluster 5  | n =  929,t1
20140112131942,NA,Cluster 2  | n =  2413,t1
20140112131945,NA,Cluster 6  | n =  889,t1
20140112131954,NA,Cluster 2  | n =  2413,t1
20140112131959,NA,Cluster 5  | n =  929,t1
20140112131962,NA,Cluster 3  | n =  822,t1
20140112131974,NA,Cluster 2  | n =  2413,t1
20140112131976,NA,Cluster 4  | n =  207,t1
20140112131982,NA,Cluster 5  | n =  929,t1
20140112131986,NA,Cluster 3  | n =  822,t1
20140112131988,NA,Cluster 2  | n =  2413,t1
20140112131995,NA,Cluster 4  | n =  207,t1
20140112132001,NA,Cluster 6  | n =  889,t1
20140112132005,NA,Cluster 2  | n =  2413,t1
20140112132008,NA,Cluster 2  | n =  2413,t1
20140112132025,NA,Cluster 3  | n =  822,t1
20140112132026,NA,Cluster 6  | n =  889,t1
20140112132030,NA,Cluster 4  | n =  207,t1
20140112132040,NA,Cluster 2  | n =  2413,t1
20140112132055,NA,Cluster 3  | n =  822,t1
20140112132065,NA,Cluster 2  | n =  2413,t1
20140112132066,NA,Cluster 3  | n =  822,t1
20140112132071,NA,Cluster 2  | n =  2413,t1
20140112132077,NA,Cluster 6  | n =  889,t1
20140112132085,NA,Cluster 2  | n =  2413,t1
20140112132091,NA,Cluster 6  | n =  889,t1
20140112132092,NA,Cluster 2  | n =  2413,t1
20140112132094,NA,Cluster 2  | n =  2413,t1
20140112132096,NA,Cluster 2  | n =  2413,t1
20140112132097,NA,Cluster 2  | n =  2413,t1
20140112132103,NA,Cluster 2  | n =  2413,t1
20140112132111,NA,Cluster 2  | n =  2413,t1
20140112132115,NA,Cluster 5  | n =  929,t1
20140112132116,NA,Cluster 6  | n =  889,t1
20140112132123,NA,Cluster 3  | n =  822,t1
20140112132125,NA,Cluster 3  | n =  822,t1
20140112132135,NA,Cluster 2  | n =  2413,t1
20140112132136,NA,Cluster 2  | n =  2413,t1
20140112132139,NA,Cluster 4  | n =  207,t1
20140112132147,NA,Cluster 5  | n =  929,t1
20140112132149,NA,Cluster 2  | n =  2413,t1
20140112132150,NA,Cluster 2  | n =  2413,t1
20140112132153,NA,Cluster 2  | n =  2413,t1
20140112132162,NA,Cluster 3  | n =  822,t1
20140112132167,NA,Cluster 6  | n =  889,t1
20140112132176,NA,Cluster 2  | n =  2413,t1
20140112132182,NA,Cluster 3  | n =  822,t1
20140112132184,NA,Cluster 6  | n =  889,t1
20140112132185,NA,Cluster 5  | n =  929,t1
20140112132188,NA,Cluster 2  | n =  2413,t1
20140112132190,NA,Cluster 4  | n =  207,t1
20140112132195,NA,Cluster 3  | n =  822,t1
20140112132198,NA,Cluster 2  | n =  2413,t1
20140112132199,NA,Cluster 2  | n =  2413,t1
20140112132202,NA,Cluster 2  | n =  2413,t1
20140112132207,NA,Cluster 6  | n =  889,t1
20140112132223,NA,Cluster 2  | n =  2413,t1
20140112132224,NA,Cluster 5  | n =  929,t1
20140112132239,NA,Cluster 6  | n =  889,t1
20140112132242,NA,Cluster 5  | n =  929,t1
20140112132247,NA,Cluster 3  | n =  822,t1
20140112132253,NA,Cluster 3  | n =  822,t1
20140112132261,NA,Cluster 1  | n =  217,t1
20140112132270,NA,Cluster 2  | n =  2413,t1
20140112132271,NA,Cluster 2  | n =  2413,t1
20140112132272,NA,Cluster 2  | n =  2413,t1
20140112132281,NA,Cluster 5  | n =  929,t1
20140112132285,NA,Cluster 2  | n =  2413,t1
20140112132287,NA,Cluster 6  | n =  889,t1
20140112132288,NA,Cluster 6  | n =  889,t1
