ID,cluster,time
20130504132338,Cluster 2  |  n = 1501,t1
20130504132361,Cluster 2  |  n = 1501,t1
20130504132366,Cluster 2  |  n = 1501,t1
20130504132369,Cluster 1  |  n = 1500,t1
20130504132373,Cluster 3  |  n = 355,t1
20130504132374,Cluster 1  |  n = 1500,t1
20130504132391,Cluster 2  |  n = 1501,t1
20130504132396,Cluster 1  |  n = 1500,t1
20130504132405,Cluster 1  |  n = 1500,t1
20130504132409,Cluster 2  |  n = 1501,t1
20130504132412,Cluster 2  |  n = 1501,t1
20130504132413,Cluster 1  |  n = 1500,t1
20130504132415,Cluster 2  |  n = 1501,t1
20130504132424,Cluster 2  |  n = 1501,t1
20130504132431,Cluster 2  |  n = 1501,t1
20130504132441,Cluster 2  |  n = 1501,t1
20130504132447,Cluster 3  |  n = 355,t1
20130504132449,Cluster 2  |  n = 1501,t1
20130504132453,Cluster 1  |  n = 1500,t1
20130504132461,Cluster 2  |  n = 1501,t1
20130504132472,Cluster 1  |  n = 1500,t1
20130504132473,Cluster 1  |  n = 1500,t1
20130504132478,Cluster 3  |  n = 355,t1
20130504132487,Cluster 1  |  n = 1500,t1
20130504132500,Cluster 2  |  n = 1501,t1
20130504132502,Cluster 1  |  n = 1500,t1
20130505130002,Cluster 2  |  n = 1501,t1
20130505130027,Cluster 2  |  n = 1501,t1
20130505130066,Cluster 3  |  n = 355,t1
20130505130124,Cluster 1  |  n = 1500,t1
20130505130500,Cluster 1  |  n = 1500,t1
20130505130556,Cluster 2  |  n = 1501,t1
20130505130804,Cluster 1  |  n = 1500,t1
20130505130881,Cluster 1  |  n = 1500,t1
20130505130900,Cluster 1  |  n = 1500,t1
20130505130954,Cluster 2  |  n = 1501,t1
20130505131033,Cluster 1  |  n = 1500,t1
20130505131052,Cluster 2  |  n = 1501,t1
20130505131115,Cluster 1  |  n = 1500,t1
20130505131143,Cluster 2  |  n = 1501,t1
20130505131206,Cluster 1  |  n = 1500,t1
20130505131301,Cluster 2  |  n = 1501,t1
20130505131400,Cluster 2  |  n = 1501,t1
20130505131469,Cluster 1  |  n = 1500,t1
20130505131542,Cluster 1  |  n = 1500,t1
20130505131554,Cluster 3  |  n = 355,t1
20130505131557,Cluster 1  |  n = 1500,t1
20130505131574,Cluster 2  |  n = 1501,t1
20130505131591,Cluster 1  |  n = 1500,t1
20130505131601,Cluster 2  |  n = 1501,t1
20130505131639,Cluster 1  |  n = 1500,t1
20130505131669,Cluster 2  |  n = 1501,t1
20130505131713,Cluster 2  |  n = 1501,t1
20130505131854,Cluster 3  |  n = 355,t1
20130505131871,Cluster 3  |  n = 355,t1
20130505131905,Cluster 3  |  n = 355,t1
20130505131933,Cluster 2  |  n = 1501,t1
20130505131963,Cluster 1  |  n = 1500,t1
20130505132025,Cluster 1  |  n = 1500,t1
20130505132028,Cluster 1  |  n = 1500,t1
20130505132031,Cluster 1  |  n = 1500,t1
20130505132032,Cluster 2  |  n = 1501,t1
20130505132093,Cluster 1  |  n = 1500,t1
20130505132106,Cluster 3  |  n = 355,t1
20130505132146,Cluster 2  |  n = 1501,t1
20130505132183,Cluster 1  |  n = 1500,t1
20130505132210,Cluster 2  |  n = 1501,t1
20130505132253,Cluster 2  |  n = 1501,t1
20130505132268,Cluster 2  |  n = 1501,t1
20130505132269,Cluster 1  |  n = 1500,t1
20130505132412,Cluster 1  |  n = 1500,t1
20130505132418,Cluster 2  |  n = 1501,t1
20130505132471,Cluster 3  |  n = 355,t1
20130603132038,Cluster 1  |  n = 1500,t1
20130603132233,Cluster 3  |  n = 355,t1
20130604130065,Cluster 1  |  n = 1500,t1
20130604130555,Cluster 2  |  n = 1501,t1
20130604130583,Cluster 2  |  n = 1501,t1
20130604130623,Cluster 2  |  n = 1501,t1
20130604130626,Cluster 2  |  n = 1501,t1
20130604130689,Cluster 2  |  n = 1501,t1
20130604130714,Cluster 3  |  n = 355,t1
20130604130761,Cluster 2  |  n = 1501,t1
20130604130782,Cluster 3  |  n = 355,t1
20130604130815,Cluster 1  |  n = 1500,t1
20130604130947,Cluster 1  |  n = 1500,t1
20130604131005,Cluster 2  |  n = 1501,t1
